nombre_establecimiento,razon_social,fecha_alta,categoria_actividad,actividad,personas_ocupadas,tipo_empresa,tipo_centro_comercio,centro_comercio,tipo_unidad_economica,direccion,colonia,alcaldia,telefono,correo_electronico,pagina_web,latitud,longitud
ACAS TEAM,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PUEBLA EXT. 308  C.P. 6700,ROMA NORTE I,CUAUHTEMOC,NA,acas-team@hotmail.com,NA,19.42080799,-99.17043161
ACCESORIOS  DE CASA,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE REPUBLICA DE GUATEMALA EXT. 76  C.P. 6020,CENTRO VII,CUAUHTEMOC,NA,dia0634469217@zcloud.com,NA,19.43447705,-99.12860571
ACCESORIOS DE TELEFONOS LOCAL 53,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO PUBLICO SEDECO SANTA ANITA,Fijo,EJE VIAL 1 ORIENTE (AVENIDA ANDRES MOLINA ENRIQUEZ) EXT. 0 INT. 53 C.P. 8210,NUEVA STA ANITA,IZTACALCO,"5513672366",NA,NA,19.39852979,-99.12918495
ACUPRODUCTOS VALLE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE REPUBLICA DEL SALVADOR EXT. 92  C.P. 6060,CENTRO IV,CUAUHTEMOC,"55109339",centrotonaltlalli@gmail.com,NA,19.42952506,-99.13556545
ACUPRODUCTOS VALLE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE REPUBLICA DEL SALVADOR EXT. 96 INT. 105 C.P. 6060,CENTRO IV,CUAUHTEMOC,NA,NA,NA,19.42945986,-99.13509768
ADDYRE TEMPLO YORUBA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 6 SUR (TRABAJADORAS SOCIALES )   C.P. 9410,JARDINES DE CHURUBUSCO,IZTAPALAPA,NA,NA,NA,19.37343227,-99.10613972
ADICION FIT,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,CENTRO Y PLAZA COMERCIAL,PLAZATLAHUAC,Fijo,AVENIDA TLAHUAC EXT. 5295  C.P. 13210,LOS OLIVOS,TLAHUAC,NA,NA,NA,19.30493829,-99.06178299
ADN MEDICA PHARMA,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA VASCO DE QUIROGA EXT. 1776  C.P. 1230,TLAPECHICO,ALVARO OBREGON,NA,NA,NA,19.38014385,-99.24347078
ADONAI,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MANUEL FERNANDO DE SOTO EXT. 0 INT. 0 C.P. 7469,CONSTITUCION DE LA REPUBLICA,GUSTAVO A. MADERO,NA,NA,NA,19.48330065,-99.0975352
ADV CENTROS AUDITIVOS,ADV CENTROS AUDITIVOS SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE FERNANDO IGLESIAS CALDERON EXT. 52  C.P. 15900,JARDIN BALBUENA III,VENUSTIANO CARRANZA,NA,NA,NA,19.41547127,-99.10365983
AGR OUTSORCING,AGR OUTSOURCING SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,31 a 50 personas,Pequeña empresa,NA,NA,Fijo,CALLE NACIONAL EXT. 0 INT. 0 C.P. 9210,TEPALCATES I,IZTAPALAPA,NA,agr_miranda@hotmail.com,NA,19.38779195,-99.05208893
AHORRO MAX,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ZARCO EXT. 103  C.P. 6300,GUERRERO III,CUAUHTEMOC,NA,yayis112@hotmail.com,NA,19.4435686,-99.14537064
AL FARMA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA LA GARITA EXT. 207 INT. 0 C.P. 14390,VILLA COAPA (RDCIAL),TLALPAN,NA,NA,NA,19.29188874,-99.11932119
ALI EL PRINCIPIO DE UNA NUEVA VIDA,ALI EL PRINCIPIO DE UNA NUEVA VIDA S DE RL DE CV,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,EDIFICIO COMERCIAL Y DE SERVICIOS,CORPORATIVO RIO ELBA,Fijo,CALLE RIO ELBA EXT. 22 INT. 3 C.P. 6500,CUAUHTEMOC,CUAUHTEMOC,"5552118743",contabilidad@alfanewlife.com.mx,www.alfanewlife.com,19.42577442,-99.17512531
ALIMENTOS INTEGRALES D XILOU,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA MEXICO EXT. 13  C.P. 9410,ACULCO (PBLO),IZTAPALAPA,"5556343423",NA,NA,19.3720198,-99.10485802
ALIMENTOS NATURALES SAN JERONIMO,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA SAN JERONIMO EXT. 630 INT. 18 C.P. 1900,JARDINES DEL PEDREGAL,ALVARO OBREGON,"5555955840",tiendasanjeronimoalimento02@gmail.com,NA,19.33124802,-99.20959692
ALIMENTOS NATURALES YOATZIN,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA PUENTE DE ALVARADO EXT. 5  C.P. 6350,BUENAVISTA II,CUAUHTEMOC,"5557031938",NA,NA,19.43809173,-99.14943823
ALIMENTOS PREPARADOS HERBALIFE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ALLENDE EXT. 39  C.P. 5600,SAN MATEO TLALTENANGO (PBLO),CUAJIMALPA DE MORELOS,NA,NA,NA,19.34128845,-99.28154381
ALIMENTOS SALUDABLES,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LOPEZ PORTILLO EXT. 25 INT. 0 C.P. 9709,LOMAS DE SANTA CRUZ MEYEHUALCO,IZTAPALAPA,"5555168828",NA,NA,19.3314024,-99.03609629
ALINA NASABELLE TIENDA NATURISTA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CHEMAX EXT. 141 INT. 0 C.P. 14240,LOMAS DE  PADIERNA II,TLALPAN,NA,NA,NA,19.29184187,-99.22275293
ALLERE,ORIGEN NUTRICIONAL SA DE CV,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE HEROES DE PADIERNA EXT. 132 INT. 48 C.P. 10200,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,NA,candrade@allere.mx,NA,19.32339415,-99.2232416
ALMACEN DE DISTRIBUCION REACTIV,REACTIV SA DE CV,2010-07-01,Farmacias y salud,Artículos ortopédicos,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA 4 SUR (PRESIDENTE PLUTARCO ELÍAS CALLES) EXT. 616 INT. 0 C.P. 8400,GRANJAS MEXICO I,IZTACALCO,NA,informacion@reactiv.com.mx,www.reactiv.com.mx,19.39759348,-99.10412683
ALMACEN DE PRODUCTOS NATURALES SADWIS,FABRICA DE PRODUCTOS NATURALES SADWIS SA DE CV,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 311 EXT. 559  C.P. 7420,NUEVA ATZACOALCO II,GUSTAVO A. MADERO,"5557690450",NA,NA,19.49832165,-99.08681648
ALMACEN EL GLOBO,DROGUERIA Y FARMACIA EL GLOBO SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE NOGAL EXT. 45 INT. 0 C.P. 6400,SANTA MARIA LA RIBERA IV,CUAUHTEMOC,NA,tcifuentes@dfg.com.mx,NA,19.44509537,-99.16451226
ALQUILADORA MEDICA,ALQUILADORA MEDICA SA DE CV,2010-07-01,Farmacias y salud,Artículos ortopédicos,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE ISABEL LA CATOLICA EXT. 781  C.P. 3400,ALAMOS II,BENITO JUAREZ,NA,cobranza@alquiladoramedica.net,NA,19.3942168,-99.14159946
ALTERNA MEDIC,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SUR 20  INT. 3 C.P. 8500,AGRICOLA ORIENTAL VI,IZTACALCO,NA,alternamedic@yahoo.com.mx,www.alternamedic.yolasite.com,19.39075173,-99.06595334
ALTERNATIVA NATURAL,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE AYUNTAMIENTO EXT. 200  C.P. 14260,CALVARIO CAMISETAS,TLALPAN,"5551718505",NA,NA,19.28850094,-99.18000752
ALTERNATIVA ORTOMAX,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 2 ORIENTE (HEROICA ESCUELA NAVAL MILITAR) EXT. 758 INT. 3 C.P. 4470,PRESIDENTES EJIDALES SEGUNDA SECCION,COYOACAN,"5547820217",NA,NA,19.32283061,-99.12481189
AMERICAN PHARMACY,MIJUMA SA DE CV,2010-07-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 7 SUR (FELIX CUEVAS) EXT. 682  C.P. 3100,DEL VALLE VI,BENITO JUAREZ,"5556052335",NA,NA,19.37146896,-99.1682541
AMORES Y SABORES,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA AVENIDA DE LOS LEONES EXT. 145  C.P. 1710,LAS AGUILAS,ALVARO OBREGON,NA,administracion@amoresysabores.com.mx,www.amoresysabores.com.mx,19.36057332,-99.1972785
AMPLIACION SANTA FE,NUTRISA SA DE CV,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA VASCO DE QUIROGA EXT. 3850 INT. 0 C.P. 5109,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,NA,NA,www.nutrisa.com.mx,19.3619197,-99.27671639
AMSTERDAM MARKET,HEALTY SA DE CV,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA AMSTERDAM EXT. 159  C.P. 6100,HIPODROMO I,CUAUHTEMOC,"5588115455",origenesamsterdam@outlook.com,origenesorganicos.com,19.41019819,-99.17197802
ANÁLISIS CLINICOS DOCTOR SIMI,FARRAM SA DE CV,2016-01-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ÁLVARO OBREGÓN EXT. 104 INT. 0 C.P. 10800,LA CONCEPCION,LA MAGDALENA CONTRERAS,NA,lapcontreras@farram.com.mx,NA,19.3057583,-99.23439694
ANGEL DE LA SALUD PRODUCTOS NATURISTAS,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 1 ORIENTE (ANILLO DE CIRCUNVALACION) EXT. 420  C.P. 15100,CENTRO II,VENUSTIANO CARRANZA,"5554911681",NA,NA,19.42850413,-99.1249749
ANGELES DE LA SALUD PRODUCTOS NATURALES,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ANACAHUITA EXT. 178 INT. 0 C.P. 4369,PEDREGAL DE STO DOMINGO IX,COYOACAN,"5550330068",NA,NA,19.33002354,-99.17147507
ANTARA,NUTRISA SA DE CV,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,OTRO CONGLOMERADO,PLAZA ANTARA,Fijo,AVENIDA Ejército Nacional Mexicano EXT. 843 INT. 0 C.P. 11520,GRANADA,MIGUEL HIDALGO,NA,NA,www.nutrisa.com.mx,19.43861167,-99.20361769
APARATOS AUDITIVOS,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO RIO ESLA,Fijo,CALLE PALMA EXT. 10 INT. 34 C.P. 6000,CENTRO IV,CUAUHTEMOC,NA,NA,NA,19.43477904,-99.13491311
APARATOS AUDITIVOS AKUSTIKUM SADE CV,ESCUCHA Y VIVE SA DE CV,2019-11-01,Farmacias y salud,Artículos ortopédicos,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE HEROES DE PADIERNA EXT. 132  C.P. 10200,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,"52032458",NA,NA,19.32339415,-99.2232416
APARATOS DE COMPRESION,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE COAHUILA EXT. 41 INT. 0 C.P. 6700,ROMA NORTE III,CUAUHTEMOC,NA,acocoahuila@gmail.com,NA,19.41248199,-99.15695688
APARATOS DE COMPRESION,APARATOS DE COMPRESION SA DE CV,2010-07-01,Farmacias y salud,Artículos ortopédicos,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE PALENQUE EXT. 8  C.P. 3023,NARVARTE II,BENITO JUAREZ,"5555300989",aseojobst@pordigy.net.mx,NA,19.39776332,-99.15155808
APARATOS E INSTRUMENTOS CIENTIFICOS,APARATOS E INSTRUMENTOS CIENTIFICOS,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 5 DE FEBRERO EXT. 57 INT. 0 C.P. 6010,CENTRO V,CUAUHTEMOC,"5557094774",NA,NA,19.42722289,-99.13506214
APARATOS ORTOPEDICOS,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE OCAMPO EXT. 57  C.P. 5000,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,NA,NA,NA,19.35514199,-99.29790281
APARATOS ORTOPEDICOS,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA BARRANCA DEL MUERTO EXT. 362 INT. 0 C.P. 1020,GUADALUPE INN,ALVARO OBREGON,NA,NA,www.ortopedicosmartinez.com.mx,19.36285401,-99.18833232
APARATOS ORTOPEDICOS,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SAMUEL EXT. 24 INT. 0 C.P. 7840,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,"5519051041",NA,NA,19.46884448,-99.12235986
APARATOS ORTOPEDICOS,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SAN SEBASTIÁN EXT. 28 INT. 0 C.P. 2050,SANTA MARIA MALINALCO (PBLO),AZCAPOTZALCO,NA,NA,NA,19.48143645,-99.18316732
APARATOS ORTOPEDICOS AVIACER,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JARDÍN HORTENSIAS EXT. 67 INT. 0 C.P. 9940,JARDINES DE SAN LORENZO,IZTAPALAPA,"5532003807",denzura@hotmail.com,denzura@hotmail.com,19.29600398,-99.07435483
APARATOS ORTOPEDICOS CONSULFARMA,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE HERMENEGILDO GALEANA EXT. 139  C.P. 2750,SANTIAGO AHUIZOTLA (PBLO),AZCAPOTZALCO,NA,NA,NA,19.47793065,-99.21281174
APARATOS ORTOPEDICOS DIAZ,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Semifijo,PERIFERICO CANAL DE GARAY   C.P. 9880,EL VERGEL,IZTAPALAPA,NA,oxigenos_valverde@hotmail.com,NA,19.31732378,-99.07672768
APARATOS ORTOPEDICOS MARTÍNEZ,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE FERNANDO MONTES DE OCA EXT. 328  C.P. 3660,SAN SIMON TICUMAC,BENITO JUAREZ,NA,NA,NA,19.37453839,-99.14420566
APARATOS ORTOPEDICOS MARTINEZ,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE GENERAL FRANCISCO LEYVA EXT. 25 INT. 0 C.P. 9100,JUAN ESCUTIA II,IZTAPALAPA,NA,ortopediamartinez9@gmail.com,NA,19.38821033,-99.03899988
APARATOS ORTOPEDICOS MARTINEZ,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,CENTRO Y PLAZA COMERCIAL,PATIO PEDREGAL,Fijo,PERIFERICO BOULEVARD ADOLFO RUIZ CORTINES EXT. 5270 INT. 7 C.P. 4700,SANTA URSULA COYOACAN,COYOACAN,NA,NA,NA,19.30294062,-99.1727466
APARATOS ORTOPEDICOS MARTINEZ,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALZADA CALZADA DE LOS MISTERIOS EXT. 221 INT. 0 C.P. 7010,VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,"5570674499",NA,NA,19.48342336,-99.11917575
APARATOS ORTOPEDICOS MARTINEZ,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALZADA CALZADA DE LAS BOMBAS EXT. 72 INT. 0 C.P. 4899,EX HACIENDA COAPA,COYOACAN,NA,NA,NA,19.30893336,-99.13263326
APARATOS ORTOPEDICOS MED MART,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA TLAHUAC EXT. 3922  C.P. 9870,SAN ANDRES TOMATLAN (PBLO),IZTAPALAPA,NA,med.mart@yahoo.com.mx,med-mart.wixsite.com/tiendaortopedica,19.32868038,-99.10606412
APARATOS PARA DEFIICIENCIA AUDITIVA ODE AUDITIVOS,NA,2014-12-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PLAN DE MUYUGUARDA EXT. 42  C.P. 16035,SAN LORENZO LA CEBADA II,XOCHIMILCO,"5555555738",auditivosode@gmail.com,NA,19.27697322,-99.11852684
APARATOS PARA SORDERA,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CADIZ EXT. 15  C.P. 3400,ALAMOS I,BENITO JUAREZ,NA,NA,NA,19.39950031,-99.14521732
APARATOS PARA SORDERA,NA,2010-07-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 15 EXT. 7 INT. 304 C.P. 15500,MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,"5512879587",lumoaudio@hotmail.com,NA,19.42456558,-99.10287534
AQUI EN LA TIERRA PRODUCTOS NATURISTAS,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA 604 EXT. 87  C.P. 7970,SAN JUAN DE ARAGON 3A SECCION (U HAB) II,GUSTAVO A. MADERO,"5523151242",NA,NA,19.45064847,-99.06761724
ARAFARMA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SUR 24   C.P. 8500,AGRICOLA ORIENTAL III,IZTACALCO,NA,NA,NA,19.38824516,-99.0739091
ARMACIA GECIN,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BELISARIO DOMINGUEZ EXT. 36 INT. 0 C.P. 9520,PARAJE ZACATEPEC,IZTAPALAPA,NA,NA,NA,19.35670112,-99.01770964
ARMONIA NATURAL,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA UNIVERSIDAD EXT. 1363  C.P. 1030,AXOTLA,ALVARO OBREGON,NA,NA,NA,19.3575693,-99.17271485
AROMATURA TIENDA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PITAGORAS EXT. 590  C.P. 3020,NARVARTE III,BENITO JUAREZ,NA,aromatura@live.com.mx,NA,19.39099812,-99.15789442
AROSOM COMPANY,AROSOM COMPANY SA DE CV,2011-03-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LOUISIANA EXT. 57  C.P. 3810,NAPOLES,BENITO JUAREZ,NA,contacto@arosom.com.mx,NA,19.39213049,-99.17550393
ARTESANIAS  MAS MIEL,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MAR IRLANDA EXT. 47  C.P. 11400,TACUBA,MIGUEL HIDALGO,"72243218777",lu.cibibi@yahoo.com.mx,NA,19.45424563,-99.18431369
ARTHROS POLANCO,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA CALZADA LEGARIA EXT. 315  C.P. 11270,MEXICO NUEVO,MIGUEL HIDALGO,NA,arthrospolanco.consultorios@gmail.com,NA,19.45222526,-99.20052477
ARTHROS POLANCO,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA CALZADA LEGARIA EXT. 201 INT. 0 C.P. 11289,TORRE BLANCA (AMPL),MIGUEL HIDALGO,"5572612466",NA,NA,19.45416789,-99.1976252
ARTICULOS DE ORTOPEDIA,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ORIENTE 87 EXT. 3721 INT. 0 C.P. 7880,MARTIRES DE RIO BLANCO,GUSTAVO A. MADERO,NA,NA,NA,19.45945721,-99.11412953
ARTICULOS DE ORTOPEDIA Y REHABILITACION KAJEV,NA,2019-11-01,Farmacias y salud,Artículos ortopédicos,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA HIDALGO EXT. 72  C.P. 9000,SAN PABLO (BARR),IZTAPALAPA,NA,NA,NA,19.3592704,-99.0887957
